	mass_A
t	frame	x	y	r	θ	ω	pixelx	pixely
4.480000E0	8.960000E3	2.017834E1	-1.793631E1	2.699772E1	-4.163354E1		1.072102E2	8.234395E1
4.484000E0	8.968000E3	2.025976E1	-1.783010E1	2.698834E1	-4.135018E1	5.772742E1	1.072916E2	8.223774E1
4.488000E0	8.976000E3	2.031234E1	-1.776441E1	2.698454E1	-4.117172E1	3.679480E1	1.073442E2	8.217205E1
4.492000E0	8.984000E3	2.033583E1	-1.771248E1	2.696810E1	-4.105582E1	2.827095E1	1.073677E2	8.212013E1
4.496000E0	8.992000E3	2.037557E1	-1.767825E1	2.697563E1	-4.094555E1	5.567010E1	1.074074E2	8.208589E1
4.500000E0	9.000000E3	2.047836E1	-1.755857E1	2.697530E1	-4.061046E1	6.389346E1	1.075102E2	8.196621E1
4.504000E0	9.008000E3	2.050400E1	-1.747151E1	2.693822E1	-4.043440E1	3.902096E1	1.075358E2	8.187916E1
4.508000E0	9.016000E3	2.055674E1	-1.743233E1	2.695303E1	-4.029829E1	9.574046E1	1.075886E2	8.183998E1
4.512000E0	9.024000E3	2.061521E1	-1.709592E1	2.678166E1	-3.966848E1	1.228408E2	1.076471E2	8.150357E1
4.516000E0	9.032000E3	2.067602E1	-1.693251E1	2.672466E1	-3.931557E1	6.058619E1	1.077079E2	8.134015E1
4.520000E0	9.040000E3	2.073912E1	-1.690465E1	2.675591E1	-3.918379E1	8.144111E1	1.077710E2	8.131229E1
4.524000E0	9.048000E3	2.103525E1	-1.683075E1	2.693985E1	-3.866404E1	1.043858E2	1.080671E2	8.123839E1
4.528000E0	9.056000E3	2.115280E1	-1.673469E1	2.697204E1	-3.834871E1	6.152473E1	1.081846E2	8.114233E1
4.532000E0	9.064000E3	2.122333E1	-1.668423E1	2.699617E1	-3.817184E1	4.430216E1	1.082552E2	8.109188E1
4.536000E0	9.072000E3	2.126905E1	-1.661379E1	2.698871E1	-3.799429E1	5.024345E1	1.083009E2	8.102143E1
4.540000E0	9.080000E3	2.133579E1	-1.653179E1	2.699103E1	-3.776989E1	5.965292E1	1.083676E2	8.093943E1
4.544000E0	9.088000E3	2.136551E1	-1.640444E1	2.693679E1	-3.751706E1	1.106710E2	1.083974E2	8.081209E1
