	mass_A
t	frame	x	y	r	θ	ω	pixelx	pixely
3.624000E0	7.248000E3	2.129760E1	1.409405E1	2.553879E1	3.349528E1	9.895291E2	1.157689E2	5.133270E1
3.628000E0	7.256000E3	2.043222E1	1.561011E1	2.571286E1	3.737964E1	9.908235E2	1.149036E2	4.981664E1
3.632000E0	7.264000E3	1.929593E1	1.702474E1	2.573276E1	4.142187E1	9.992429E2	1.137673E2	4.840201E1
3.636000E0	7.272000E3	1.819314E1	1.843195E1	2.589840E1	4.537359E1	9.924902E2	1.126645E2	4.699480E1
3.640000E0	7.280000E3	1.695097E1	1.975036E1	2.602714E1	4.936179E1	1.008662E3	1.114223E2	4.567639E1
3.644000E0	7.288000E3	1.552455E1	2.093655E1	2.606436E1	5.344288E1	1.018874E3	1.099959E2	4.449020E1
3.648000E0	7.296000E3	1.410436E1	2.215032E1	2.625966E1	5.751278E1	1.003832E3	1.085757E2	4.327644E1
3.652000E0	7.304000E3	1.262989E1	2.323576E1	2.644645E1	6.147354E1	9.971058E2	1.071012E2	4.219099E1
3.656000E0	7.312000E3	1.103942E1	2.421218E1	2.661012E1	6.548963E1	9.879157E2	1.055108E2	4.121457E1
3.660000E0	7.320000E3	9.446317E0	2.510074E1	2.681940E1	6.937686E1	1.000433E3	1.039177E2	4.032601E1
3.664000E0	7.328000E3	7.646206E0	2.580173E1	2.691084E1	7.349309E1	1.006202E3	1.021175E2	3.962503E1
3.668000E0	7.336000E3	5.864868E0	2.629498E1	2.694110E1	7.742648E1	1.045006E3	1.003362E2	3.913177E1
3.672000E0	7.344000E3	3.829933E0	2.675362E1	2.702636E1	8.185313E1	1.042189E3	9.830127E1	3.867314E1
3.676000E0	7.352000E3	2.010224E0	2.714047E1	2.721482E1	8.576399E1	9.480452E2	9.648156E1	3.828628E1
3.680000E0	7.360000E3	2.688091E-1	2.737952E1	2.738084E1	8.943749E1	9.562428E2	9.474015E1	3.804723E1
3.684000E0	7.368000E3	-1.637207E0	2.744463E1	2.749342E1	9.341393E1	9.938549E2	9.283413E1	3.798212E1
3.688000E0	7.376000E3	-3.552931E0	2.739973E1	2.762912E1	9.738833E1	9.960103E2	9.091841E1	3.802702E1
3.692000E0	7.384000E3	-5.480512E0	2.722442E1	2.777058E1	1.013820E2	9.985007E2	8.899083E1	3.820233E1
3.696000E0	7.392000E3	-7.414467E0	2.696154E1	2.796245E1	1.053763E2	1.017997E3	8.705687E1	3.846522E1
3.700000E0	7.400000E3	-9.400630E0	2.650835E1	2.812587E1	1.095260E2	1.007490E3	8.507071E1	3.891840E1
3.704000E0	7.408000E3	-1.121094E1	2.586205E1	2.818742E1	1.134363E2	1.010259E3	8.326039E1	3.956471E1
3.708000E0	7.416000E3	-1.317269E1	2.518841E1	2.842491E1	1.176081E2	1.041479E3	8.129865E1	4.023835E1
3.712000E0	7.424000E3	-1.507303E1	2.434057E1	2.862970E1	1.217681E2	1.023640E3	7.939830E1	4.108618E1
3.716000E0	7.432000E3	-1.689955E1	2.343423E1	2.889218E1	1.257972E2	1.000017E3	7.757179E1	4.199252E1
3.720000E0	7.440000E3	-1.844619E1	2.216480E1	2.883644E1	1.297682E2	9.906707E2	7.602514E1	4.326196E1
3.724000E0	7.448000E3	-2.003819E1	2.095226E1	2.899183E1	1.337225E2	1.018567E3	7.443314E1	4.447449E1
3.728000E0	7.456000E3	-2.167121E1	1.956993E1	2.919972E1	1.379168E2	1.046348E3	7.280013E1	4.585682E1
3.732000E0	7.464000E3	-2.309607E1	1.798412E1	2.927212E1	1.420933E2	1.046810E3	7.137527E1	4.744264E1
3.736000E0	7.472000E3	-2.455493E1	1.638153E1	2.951778E1	1.462912E2	1.035846E3	6.991641E1	4.904522E1
3.740000E0	7.480000E3	-2.567763E1	1.459873E1	2.953749E1	1.503801E2	1.041318E3	6.879371E1	5.082803E1
3.744000E0	7.488000E3	-2.672599E1	1.267798E1	2.958056E1	1.546218E2	1.066264E3	6.774535E1	5.274877E1
