	mass_A
t	frame	ω	x	y	r	θ	pixelx	pixely
1.176000E0	2.352000E3	3.535684E2	-2.701558E1	-8.669709E-1	2.702948E1	1.818381E2	1.130762E2	6.361788E1
1.180000E0	2.360000E3	3.531498E2	-2.694734E1	-1.462409E0	2.698699E1	1.831063E2	1.130079E2	6.302244E1
1.184000E0	2.368000E3	3.827384E2	-2.688324E1	-2.192858E0	2.697253E1	1.846633E2	1.129438E2	6.229199E1
1.188000E0	2.376000E3	3.372759E2	-2.689974E1	-2.907167E0	2.705638E1	1.861683E2	1.129603E2	6.157768E1
1.192000E0	2.384000E3	3.384787E2	-2.680666E1	-3.463254E0	2.702945E1	1.873615E2	1.128673E2	6.102159E1
1.196000E0	2.392000E3	3.928043E2	-2.671350E1	-4.171799E0	2.703729E1	1.888761E2	1.127741E2	6.031305E1
1.200000E0	2.400000E3	3.559311E2	-2.671931E1	-4.954021E0	2.717469E1	1.905039E2	1.127799E2	5.953083E1
1.204000E0	2.408000E3	3.797247E2	-2.654650E1	-5.508888E0	2.711208E1	1.917235E2	1.126071E2	5.897596E1
1.208000E0	2.416000E3	4.318809E2	-2.639383E1	-6.356926E0	2.714857E1	1.935417E2	1.124544E2	5.812792E1
1.212000E0	2.424000E3	4.187945E2	-2.605407E1	-7.068275E0	2.699583E1	1.951786E2	1.121147E2	5.741657E1
1.216000E0	2.432000E3	3.752955E2	-2.591549E1	-7.869811E0	2.708407E1	1.968921E2	1.119761E2	5.661504E1
1.220000E0	2.440000E3	3.900801E2	-2.570003E1	-8.440268E0	2.705050E1	1.981809E2	1.117606E2	5.604458E1
1.224000E0	2.448000E3	4.388472E2	-2.547463E1	-9.278407E0	2.711172E1	2.000127E2	1.115352E2	5.520644E1
1.228000E0	2.456000E3	3.782204E2	-2.515781E1	-1.000730E1	2.707511E1	2.016917E2	1.112184E2	5.447755E1
1.232000E0	2.464000E3	3.646342E2	-2.482910E1	-1.055901E1	2.698104E1	2.030385E2	1.108897E2	5.392584E1
1.236000E0	2.472000E3	4.279397E2	-2.457659E1	-1.125661E1	2.703184E1	2.046088E2	1.106372E2	5.322824E1
1.240000E0	2.480000E3	4.615029E2	-2.430576E1	-1.209828E1	2.715029E1	2.064620E2	1.103664E2	5.238657E1
1.244000E0	2.488000E3	4.108711E2	-2.396548E1	-1.290452E1	2.721894E1	2.083008E2	1.100261E2	5.158033E1
1.248000E0	2.496000E3	4.103493E2	-2.356187E1	-1.346615E1	2.713851E1	2.097490E2	1.096225E2	5.101870E1
1.252000E0	2.504000E3	4.449759E2	-2.319305E1	-1.425932E1	2.722583E1	2.115836E2	1.092537E2	5.022553E1
1.256000E0	2.512000E3	4.237226E2	-2.281091E1	-1.498897E1	2.729482E1	2.133088E2	1.088715E2	4.949588E1
1.260000E0	2.520000E3	4.271993E2	-2.230213E1	-1.560069E1	2.721703E1	2.149734E2	1.083627E2	4.888416E1
1.264000E0	2.528000E3	4.703868E2	-2.176527E1	-1.623892E1	2.715566E1	2.167264E2	1.078259E2	4.824593E1
1.268000E0	2.536000E3	4.930457E2	-2.128658E1	-1.707604E1	2.728937E1	2.187365E2	1.073472E2	4.740881E1
1.272000E0	2.544000E3	4.381881E2	-2.072673E1	-1.780939E1	2.732713E1	2.206707E2	1.067873E2	4.667546E1
1.276000E0	2.552000E3	4.472847E2	-2.026577E1	-1.840296E1	2.737463E1	2.222420E2	1.063264E2	4.608189E1
1.280000E0	2.560000E3	4.735864E2	-1.958870E1	-1.908180E1	2.734652E1	2.242490E2	1.056493E2	4.540305E1
1.284000E0	2.568000E3	4.517294E2	-1.910401E1	-1.980400E1	2.751657E1	2.260307E2	1.051646E2	4.468085E1
1.288000E0	2.576000E3	4.833232E2	-1.842616E1	-2.036606E1	2.746452E1	2.278628E2	1.044868E2	4.411879E1
1.292000E0	2.584000E3	4.594609E2	-1.768280E1	-2.099696E1	2.745093E1	2.298973E2	1.037434E2	4.348789E1
1.296000E0	2.592000E3	4.513121E2	-1.707339E1	-2.149384E1	2.744970E1	2.315385E2	1.031340E2	4.299101E1
1.300000E0	2.600000E3	5.180270E2	-1.635975E1	-2.211520E1	2.750860E1	2.335078E2	1.024204E2	4.236965E1
1.304000E0	2.608000E3	4.895945E2	-1.553566E1	-2.275970E1	2.755650E1	2.356827E2	1.015963E2	4.172515E1
1.308000E0	2.616000E3	4.637468E2	-1.486294E1	-2.326246E1	2.760523E1	2.374245E2	1.009235E2	4.122239E1
1.312000E0	2.624000E3	4.686689E2	-1.408382E1	-2.380754E1	2.766140E1	2.393927E2	1.001444E2	4.067731E1
1.316000E0	2.632000E3	5.250268E2	-1.333214E1	-2.422490E1	2.765125E1	2.411739E2	9.939275E1	4.025995E1
1.320000E0	2.640000E3	5.629440E2	-1.232085E1	-2.481250E1	2.770314E1	2.435929E2	9.838146E1	3.967234E1
1.324000E0	2.648000E3	5.289296E2	-1.138723E1	-2.519344E1	2.764740E1	2.456774E2	9.744783E1	3.929141E1
1.328000E0	2.656000E3	5.201173E2	-1.046848E1	-2.568346E1	2.773498E1	2.478244E2	9.652909E1	3.880139E1
1.332000E0	2.664000E3	4.841787E2	-9.576589E0	-2.608228E1	2.778483E1	2.498384E2	9.563719E1	3.840257E1
1.336000E0	2.672000E3	4.821429E2	-8.778595E0	-2.654060E1	2.795473E1	2.516978E2	9.483920E1	3.794425E1
1.340000E0	2.680000E3	4.857094E2	-7.867266E0	-2.689612E1	2.802312E1	2.536955E2	9.392787E1	3.758873E1
1.344000E0	2.688000E3	5.114582E2	-6.948630E0	-2.703076E1	2.790959E1	2.555835E2	9.300924E1	3.745409E1
1.348000E0	2.696000E3	5.430496E2	-5.937999E0	-2.743459E1	2.806985E1	2.577872E2	9.199860E1	3.705026E1
1.352000E0	2.704000E3	5.336295E2	-4.914440E0	-2.766746E1	2.810053E1	2.599279E2	9.097505E1	3.681739E1
1.356000E0	2.712000E3	5.414661E2	-3.883246E0	-2.782879E1	2.809842E1	2.620562E2	8.994385E1	3.665606E1
1.360000E0	2.720000E3	5.315148E2	-2.801106E0	-2.786464E1	2.800508E1	2.642596E2	8.886171E1	3.662021E1
1.364000E0	2.728000E3	5.361818E2	-1.802383E0	-2.793476E1	2.799284E1	2.663083E2	8.786299E1	3.655009E1
1.368000E0	2.736000E3	5.488890E2	-7.076862E-1	-2.793954E1	2.794850E1	2.685491E2	8.676829E1	3.654531E1
1.372000E0	2.744000E3	5.396981E2	3.408030E-1	-2.791612E1	2.791820E1	2.706994E2	8.571980E1	3.656873E1
1.376000E0	2.752000E3	5.590523E2	1.397296E0	-2.790457E1	2.793953E1	2.728666E2	8.466331E1	3.658028E1
1.380000E0	2.760000E3	6.219211E2	2.514983E0	-2.778622E1	2.789981E1	2.751719E2	8.354562E1	3.669863E1
1.384000E0	2.768000E3	6.328693E2	3.821853E0	-2.774888E1	2.801084E1	2.778420E2	8.223875E1	3.673597E1
1.388000E0	2.776000E3	5.799391E2	4.981134E0	-2.758780E1	2.803388E1	2.802348E2	8.107947E1	3.689705E1
1.392000E0	2.784000E3	5.846148E2	6.080540E0	-2.746947E1	2.813440E1	2.824815E2	7.998007E1	3.701538E1
1.396000E0	2.792000E3	5.633539E2	7.271629E0	-2.730629E1	2.825792E1	2.849117E2	7.878898E1	3.717856E1
